Date,Confirmed,Deceased,Recovered,State_Name
14-Mar-20,0,0,0,Andaman and Nicobar Islands
14-Mar-20,1,0,0,Andhra Pradesh
14-Mar-20,0,0,0,Arunachal Pradesh
14-Mar-20,0,0,0,Assam
14-Mar-20,0,0,0,Bihar
14-Mar-20,0,0,0,Chandigarh
14-Mar-20,0,0,0,Chhattisgarh
14-Mar-20,0,0,0,Daman and Diu
14-Mar-20,7,1,1,Delhi
14-Mar-20,0,0,0,Dadra and Nagar Haveli and Daman and Diu
14-Mar-20,0,0,0,Goa
14-Mar-20,0,0,0,Gujarat
14-Mar-20,0,0,0,Himachal Pradesh
14-Mar-20,14,0,0,Haryana
14-Mar-20,0,0,0,Jharkhand
14-Mar-20,2,0,0,Jammu and Kashmir
14-Mar-20,6,1,0,Karnataka
14-Mar-20,19,0,3,Kerala
14-Mar-20,0,0,0,Ladakh
14-Mar-20,0,0,0,Lakshadweep
14-Mar-20,14,0,0,Maharashtra
14-Mar-20,0,0,0,Meghalaya
14-Mar-20,0,0,0,Manipur
14-Mar-20,0,0,0,Madhya Pradesh
14-Mar-20,0,0,0,Mizoram
14-Mar-20,0,0,0,Nagaland
14-Mar-20,0,0,0,Odisha
14-Mar-20,1,0,0,Punjab
14-Mar-20,0,0,0,Puducherry
14-Mar-20,3,0,1,Rajasthan
14-Mar-20,0,0,0,Sikkim
14-Mar-20,1,0,0,Telangana
14-Mar-20,1,0,0,Tamil Nadu
14-Mar-20,0,0,0,Tripura
14-Mar-20,81,2,9,Total
14-Mar-20,0,0,0,State Unassigned
14-Mar-20,12,0,4,Uttar Pradesh
14-Mar-20,0,0,0,Uttarakhand
14-Mar-20,0,0,0,West Bengal
15-Mar-20,0,0,0,Andaman and Nicobar Islands
15-Mar-20,0,0,0,Andhra Pradesh
15-Mar-20,0,0,0,Arunachal Pradesh
15-Mar-20,0,0,0,Assam
15-Mar-20,0,0,0,Bihar
15-Mar-20,0,0,0,Chandigarh
15-Mar-20,0,0,0,Chhattisgarh
15-Mar-20,0,0,0,Daman and Diu
15-Mar-20,0,0,1,Delhi
15-Mar-20,0,0,0,Dadra and Nagar Haveli and Daman and Diu
15-Mar-20,0,0,0,Goa
15-Mar-20,0,0,0,Gujarat
15-Mar-20,0,0,0,Himachal Pradesh
15-Mar-20,0,0,0,Haryana
15-Mar-20,0,0,0,Jharkhand
15-Mar-20,0,0,0,Jammu and Kashmir
15-Mar-20,0,0,0,Karnataka
15-Mar-20,5,0,0,Kerala
15-Mar-20,0,0,0,Ladakh
15-Mar-20,0,0,0,Lakshadweep
15-Mar-20,18,0,0,Maharashtra
15-Mar-20,0,0,0,Meghalaya
15-Mar-20,0,0,0,Manipur
15-Mar-20,0,0,0,Madhya Pradesh
15-Mar-20,0,0,0,Mizoram
15-Mar-20,0,0,0,Nagaland
15-Mar-20,0,0,0,Odisha
15-Mar-20,0,0,0,Punjab
15-Mar-20,0,0,0,Puducherry
15-Mar-20,1,0,2,Rajasthan
15-Mar-20,0,0,0,Sikkim
15-Mar-20,2,0,1,Telangana
15-Mar-20,0,0,0,Tamil Nadu
15-Mar-20,0,0,0,Tripura
15-Mar-20,27,0,4,Total
15-Mar-20,0,0,0,State Unassigned
15-Mar-20,1,0,0,Uttar Pradesh
15-Mar-20,0,0,0,Uttarakhand
15-Mar-20,0,0,0,West Bengal
16-Mar-20,0,0,0,Andaman and Nicobar Islands
16-Mar-20,0,0,0,Andhra Pradesh
16-Mar-20,0,0,0,Arunachal Pradesh
16-Mar-20,0,0,0,Assam
16-Mar-20,0,0,0,Bihar
16-Mar-20,0,0,0,Chandigarh
16-Mar-20,0,0,0,Chhattisgarh
16-Mar-20,0,0,0,Daman and Diu
16-Mar-20,0,0,0,Delhi
16-Mar-20,0,0,0,Dadra and Nagar Haveli and Daman and Diu
16-Mar-20,0,0,0,Goa
16-Mar-20,0,0,0,Gujarat
16-Mar-20,0,0,0,Himachal Pradesh
16-Mar-20,0,0,0,Haryana
16-Mar-20,0,0,0,Jharkhand
16-Mar-20,1,0,0,Jammu and Kashmir
16-Mar-20,1,0,0,Karnataka
16-Mar-20,3,0,0,Kerala
16-Mar-20,0,0,0,Ladakh
16-Mar-20,0,0,0,Lakshadweep
16-Mar-20,6,0,0,Maharashtra
16-Mar-20,0,0,0,Meghalaya
16-Mar-20,0,0,0,Manipur
16-Mar-20,0,0,0,Madhya Pradesh
16-Mar-20,0,0,0,Mizoram
16-Mar-20,0,0,0,Nagaland
16-Mar-20,1,0,0,Odisha
16-Mar-20,0,0,0,Punjab
16-Mar-20,1,0,0,Puducherry
16-Mar-20,0,0,0,Rajasthan
16-Mar-20,0,0,0,Sikkim
16-Mar-20,1,0,0,Telangana
16-Mar-20,0,0,1,Tamil Nadu
16-Mar-20,0,0,0,Tripura
16-Mar-20,15,0,1,Total
16-Mar-20,0,0,0,State Unassigned
16-Mar-20,0,0,0,Uttar Pradesh
16-Mar-20,1,0,0,Uttarakhand
16-Mar-20,0,0,0,West Bengal
17-Mar-20,0,0,0,Andaman and Nicobar Islands
17-Mar-20,0,0,0,Andhra Pradesh
17-Mar-20,0,0,0,Arunachal Pradesh
17-Mar-20,0,0,0,Assam
17-Mar-20,0,0,0,Bihar
17-Mar-20,0,0,0,Chandigarh
17-Mar-20,0,0,0,Chhattisgarh
17-Mar-20,0,0,0,Daman and Diu
17-Mar-20,1,0,0,Delhi
17-Mar-20,0,0,0,Dadra and Nagar Haveli and Daman and Diu
17-Mar-20,0,0,0,Goa
17-Mar-20,0,0,0,Gujarat
17-Mar-20,0,0,0,Himachal Pradesh
17-Mar-20,1,0,0,Haryana
17-Mar-20,0,0,0,Jharkhand
17-Mar-20,0,0,0,Jammu and Kashmir
17-Mar-20,2,0,0,Karnataka
17-Mar-20,0,0,0,Kerala
17-Mar-20,0,0,0,Ladakh
17-Mar-20,0,0,0,Lakshadweep
17-Mar-20,3,1,0,Maharashtra
17-Mar-20,0,0,0,Meghalaya
17-Mar-20,0,0,0,Manipur
17-Mar-20,0,0,0,Madhya Pradesh
17-Mar-20,0,0,0,Mizoram
17-Mar-20,0,0,0,Nagaland
17-Mar-20,0,0,0,Odisha
17-Mar-20,0,0,0,Punjab
17-Mar-20,0,0,0,Puducherry
17-Mar-20,0,0,0,Rajasthan
17-Mar-20,0,0,0,Sikkim
17-Mar-20,1,0,0,Telangana
17-Mar-20,0,0,0,Tamil Nadu
17-Mar-20,0,0,0,Tripura
17-Mar-20,11,1,1,Total
17-Mar-20,0,0,0,State Unassigned
17-Mar-20,2,0,1,Uttar Pradesh
17-Mar-20,0,0,0,Uttarakhand
17-Mar-20,1,0,0,West Bengal
